SL ALA,SL CAN,SL CEA,SL CWP,SL NEA,SL NEF,SL NPL,SL NWP,SL SEA,SL SPL,SL SWP,SL USA,SL USC
1.78,-0.12,-0.83,0.18,-0.26,-0.93,1.23,0.36,-1.09,-1.44,-0.23,-0.3,-0.27
1.62,0.06,0.43,0.9,0.45,-0.2,1.24,0.13,-0.78,-1.41,-0.76,0.17,0.14
1.56,0.3,-1.68,0.12,-1.59,0.22,1.39,-0.02,-1.42,-1.07,-0.5,-1.04,-0.5
0.43,-1.18,-0.61,-1.72,-1.95,-0.75,0.55,-1.12,-0.57,0.09,-1.2,-0.92,-1.21
0,-1.03,-0.75,-1.27,-1.65,-1.21,0.85,-0.65,-0.74,-1.31,-0.25,-0.95,-1.04
0.32,-0.75,-0.21,-0.4,-0.1,-0.63,0.79,-1.02,-0.72,-1.13,-0.94,-0.61,-0.73
0.89,-0.75,-0.92,-1.08,-1.41,-0.88,1.26,-0.46,-0.66,-1.61,-0.85,-0.94,-0.96
1.36,-0.53,-0.19,0.02,-1.09,-1.08,0.49,0.43,-1.09,-1.73,-0.36,-0.21,-0.39
0.6,-1.31,-1.32,-1.11,-1.56,-2.04,1.12,-0.44,-0.85,-1.81,-0.11,-1.05,-1.21
0.76,-0.88,-1.29,0.26,-1.67,-1.16,0.75,0.03,-1.85,-1.87,-0.16,-1.33,-1.27
1.2,-0.78,-1.83,-0.22,-1.5,-1.21,0.73,0.3,-2.17,-2.27,0.07,-1.69,-1.44
1.91,0.46,-1.17,0.83,-0.86,-0.8,1.4,1.52,-1.08,-1.41,0.28,-0.16,0.06
1.15,-0.51,-1.28,-0.77,-1.04,-1.05,1.5,-0.16,-2.08,-2.48,-0.57,-1.33,-1.16
0.08,-1.91,-1.53,-1.54,-2.35,-1.65,0.91,-1.82,-1.66,-1.51,-2.02,-2.03,-2.18
1.39,-0.96,-1.86,0.04,-1.86,-1.45,0.75,0.35,-1.97,-1.84,-1.62,-1.78,-1.59
0.63,-2.05,-1,-0.82,-1.09,-2.71,1.56,-0.5,-0.92,-1.37,-1.06,-1.21,-1.79
0.33,-1.08,-0.61,0.16,-1.56,-1.93,0.78,-0.1,-0.77,-0.72,-0.19,-0.48,-0.71
0.08,-2.16,-0.99,-0.47,-0.78,-2.28,0.99,-1.29,-1.58,-1.51,0.41,-1.21,-1.74
0.55,-1.33,-1.79,0.14,-1.41,-1.76,1.07,-0.14,-1.47,-0.9,0.05,-1.42,-1.54
0.49,0.8,-1.44,0.69,-1.01,0.26,1.35,0.74,-0.76,0.1,0.89,-0.52,-0.09
0.32,0.59,-0.46,0.44,0.36,-0.18,0.96,0.86,-0.33,0.27,0.5,-0.01,0.18
1.06,-0.73,-0.77,-0.37,-0.51,-0.98,1.32,-0.3,-0.5,-0.69,0.24,-0.41,-0.59
0.97,-0.68,-1.36,-0.69,-0.43,-0.97,0.8,-0.04,-0.98,-1.1,-0.11,-0.98,-0.95
0.85,-0.93,-1.24,-0.41,-1.64,-1.13,0.42,-0.15,-1.53,-1.91,-0.49,-1.36,-1.45
1.04,0.63,-0.64,0.14,-1.12,0.4,0.95,0.49,-0.62,-1.14,-0.24,-0.28,-0.01
-1.07,-0.32,0.08,0.43,-0.3,-0.6,0.83,0.18,-0.58,-0.48,0.12,-0.39,-0.4
0.71,-0.19,-0.48,0.23,-1.41,-0.48,0.82,0.31,-0.06,0.1,0.57,0.18,0.02
1.31,0.84,-1.28,-0.2,-0.86,0.53,1.06,0.52,-1.1,-0.58,-0.08,-0.65,-0.17
0.27,1.01,-0.33,0.1,-0.08,1.13,1,0.37,0.06,-0.06,-0.01,-0.04,0.3
1.08,-0.29,-0.74,-0.63,-1.06,-0.44,1.07,-0.13,-1.68,-1.1,-0.51,-1,-0.79
0.95,-0.09,-0.2,0.59,-0.34,-0.67,0.99,0.8,-1.13,-0.14,-0.56,-0.2,-0.17
1.8,0.9,-0.59,0.82,-0.07,-0.16,1.21,1.44,-1.47,-0.93,-0.26,-0.11,0.28
0.1,1.32,-0.77,1.78,0.44,0.62,0.64,1.37,-0.81,0.03,0.88,-0.09,0.36
0.9,0.51,-0.54,0.85,0.52,0.25,1.28,0.36,-1.01,-0.39,0.14,-0.33,0
0.77,0.8,0.52,0.09,0.19,0.67,0.97,0.37,-0.2,-0.51,-0.3,0.4,0.65
1.09,0.78,0.77,-0.03,-0.23,0.27,1.13,0.68,-0.38,-0.86,0.34,0.76,0.92
1.83,0.6,0.46,0.71,0.79,0.03,1.15,0.6,-0.98,-1.36,0.2,0.49,0.56
1.26,-0.48,-0.07,-1.7,0.45,-0.09,0.73,-1.54,-0.06,-0.13,-0.69,-0.11,-0.28
1.27,-0.21,0.16,-1.18,-0.03,0.09,0.68,-0.96,-0.02,-0.34,-0.84,0.25,0.05
-0.18,0.16,0.94,-0.5,-0.14,0.54,0.68,-0.66,-0.31,-0.96,-0.56,-0.05,0.03
-0.76,0.41,0.99,-0.22,1.75,1.03,1.25,-0.68,-0.14,0.18,-1.1,-0.05,0.09
0.92,0.95,0.42,0.31,1.34,0.72,0.97,0.58,-0.93,-0.94,-1.2,-0.14,0.32
0.61,-0.09,-0.19,0.84,-0.25,-0.72,0.85,0.92,-1.12,-1.57,-0.26,-0.48,-0.34
-0.15,-0.66,1.59,-0.72,0.01,-0.7,0.47,-0.42,1.17,0.84,-0.68,1.13,0.62
-1.28,-0.94,0.16,0.15,-0.86,-1.35,0.95,-0.46,0.8,1,-0.87,-0.1,-0.38
-0.04,1.2,1.13,1.16,0.18,0.71,0.55,1.61,0.7,0.77,-0.03,1.05,1.22
0.53,2.75,1.16,1.63,0.37,2.18,0.92,2.36,0.57,1.16,0.94,1.66,2.4
-0.4,1.46,1.53,0.07,-0.23,2.02,0.09,-0.06,1.02,0.73,0.94,1.41,1.71
-0.18,1.54,1.75,0.55,0.97,2.12,-0.35,0.58,1.65,0.79,0.94,1.55,1.66
0.48,1.45,1.53,-1.56,-0.23,2.07,0.87,-0.91,1.67,1.23,-0.74,1.3,1.49
0.18,1.09,0.71,-1.9,-0.43,1.86,0.53,-1.06,0.37,0.37,-0.71,0.27,0.71
-0.7,0.57,-0.45,-0.26,0.48,0.71,1.4,-0.46,1.21,1.49,-1.46,-0.28,0.01
-0.21,0.58,0.9,0.57,-0.86,0.61,0.37,0.34,0.66,0.31,-0.8,0.52,0.58
0.49,2.07,-0.48,1,0.04,1.67,0.69,1.91,0.28,1.27,0.35,0.3,1.1
-0.12,2.2,0.35,0.49,-1.05,2.03,0.7,1.45,1.06,0.17,0.05,0.65,1.5
-0.1,-0.26,-1.01,-1.61,-1.17,0.6,0.71,-1.4,0.25,0.5,-0.69,-0.87,-0.79
0.33,0.32,0.53,-0.41,-0.17,1.05,0.34,-0.51,0.83,0.49,-1.2,0.36,0.37
-0.46,0.16,-0.28,-0.81,0.93,0.54,0.38,-1.05,1.15,1.55,-0.59,0.14,0.16
-0.23,0.06,0.42,-1.37,-0.49,0.16,0.94,-0.46,1.95,1.08,-1.11,0.65,0.43
-0.41,0.25,0.97,-0.08,0.44,0.06,0.37,0.21,0.65,0.7,-1.43,0.35,0.38
-0.25,-0.01,0.28,-0.61,-1.41,0.81,-0.14,-0.61,-0.39,-0.44,-1.43,-0.47,-0.36
0.54,1.35,-0.66,-0.37,0.38,1.55,0.02,0.27,0.04,0.34,-0.55,-0.29,0.39
0.7,1.99,-0.34,0.72,0.34,1.59,-0.39,2.03,0.38,0.52,0.23,0.49,1.29
0.23,0.79,-1.06,-0.65,1.73,1.04,0.16,-0.21,-1.35,-1.25,0.67,-1.15,-0.59
0.84,-0.58,-2.23,-1.02,0.14,-0.37,-0.17,-0.56,-1.05,-0.57,0.16,-1.25,-1.12
0.04,0.04,-1.29,-1.66,1.34,0.29,0.18,-0.79,-0.21,0.45,-1.79,-1.16,-0.75
0.19,-0.44,-0.66,-0.94,0.77,-0.31,0.04,-0.61,0.09,0.35,-0.77,-0.46,-0.51
0.43,1.11,0.66,0.54,0.28,1.26,-0.53,0.47,0.13,-0.07,-0.03,0.7,1
0.15,1.64,1.34,1.53,1.66,1.6,-0.95,1.3,-0.26,0.07,1.56,1.1,1.35
0.12,0.27,0.54,-0.19,1.13,0.45,-0.89,-0.04,0.08,-0.38,0.99,0.41,0.39
-0.88,-0.58,0.01,-0.6,0.28,-0.08,-0.44,-1.2,-0.09,0.08,-1.11,-0.7,-0.72
-0.3,-1.34,0.79,-1.24,-0.03,-0.92,-0.61,-0.97,0.85,0.7,-0.04,0.53,-0.13
-0.95,-0.53,0.38,-0.87,0.92,0.09,-0.2,-0.94,-0.28,0.42,0.12,-0.29,-0.39
-1.22,0.01,-0.25,-0.43,-1.26,0.56,-0.9,-0.78,0.44,0.53,0.08,-0.24,-0.16
-0.92,-0.61,0,-1.19,0.46,-0.07,-0.49,-1.31,0.68,0.42,-0.7,-0.36,-0.53
0.11,0.08,-0.47,0.26,-1.01,0.68,-0.56,-0.46,0.05,0.46,-0.45,-0.19,-0.12
-0.1,0.33,-0.31,0.67,0.18,0.34,-0.74,0.39,1.03,0.53,1.38,0.55,0.52
0.09,-0.3,-0.02,-0.08,-0.65,-0.29,-0.75,0.16,0.81,-0.03,0.63,0.37,0.12
-1.2,-0.54,-0.75,-0.5,0.73,0.07,-0.42,-1.43,-0.26,0.15,0.02,-1.05,-0.92
-0.05,0.57,-1.42,-0.64,0.87,1.06,-0.45,-0.34,-1.28,-1.08,-0.59,-1.74,-1.14
0.07,0.47,-1.65,0.36,-1.47,0.19,-0.72,0.86,-0.56,-0.23,0.24,-0.8,-0.44
-0.24,0.48,-0.5,-0.19,1.34,0.31,-0.47,0.7,-0.31,0.04,0.56,-0.35,-0.03
-0.68,0.21,0.17,-0.2,1.44,0.58,-1.12,-0.35,0.07,1.07,-0.2,-0.07,0.06
0.09,1.71,0.06,0.98,2.04,1.67,-1.63,1.21,-0.52,-0.2,-0.33,-0.08,0.63
-1.24,0.09,-0.33,0.47,0.23,-0.02,-1.32,0.46,-0.42,0.41,-0.3,-0.58,-0.41
-1.23,-0.05,-1.21,1.17,1.34,-0.43,-0.63,0.95,-0.09,0.7,1.43,-0.49,-0.34
-1.58,-0.06,0.94,1.14,1.58,-0.44,-0.64,0.8,-0.05,-0.76,0.92,0.02,-0.02
-0.65,0.18,0.19,2.34,0.63,-0.79,-0.99,1.66,0.53,0.44,2.77,1.12,0.96
1.5,2.09,1.67,3.1,-0.34,0.69,-1.03,2.97,2.46,1.83,3.11,3.2,3.07
0.11,1.79,2.12,2.89,0.65,1.42,-1.18,2.31,1.72,1.1,3.21,2.71,2.58
0.55,0.9,1.55,3.13,1.71,0.31,-0.63,1.76,0.88,1.46,3.64,2.79,2.18
0.14,1.21,2.01,2.2,1.81,0.15,-0.34,1.92,0.96,1.05,2.61,2.73,2.64
-0.89,-0.04,1.16,-0.23,0.71,0.47,-0.63,-0.38,0.68,0.59,0.38,0.53,0.38
0.64,0.84,1.99,0.93,0.79,0.84,-1.1,0.84,0.85,-0.2,0.42,1.62,1.44
-0.22,0.6,1.25,0.37,0.55,0.78,-0.8,0.21,0.69,0.9,1.89,1.43,1.18
-0.15,0.52,1.14,2.17,0.95,-0.42,-0.78,1.67,1.42,1.52,0.8,1.91,1.71
-1.19,-1,0.28,-1.12,1.14,0.05,-0.21,-1.65,0.87,1.17,-0.39,-0.12,-0.41
-1.37,-0.38,-0.05,-0.66,0.31,0.11,-1.03,-1.02,0.21,0.79,-0.81,-0.39,-0.42
-1.6,-0.34,0.69,-0.35,-0.07,0.32,-0.97,-1.15,1.14,0.33,0.34,0.21,-0.04
-2.57,-1.17,1.35,-0.11,0.16,-0.16,-1,-1.58,2.14,1.46,0.06,0.57,-0.03
-0.2,-0.45,0.66,-0.08,-0.08,-0.36,-0.51,-0.26,0.53,1.06,0.38,0.55,0.27
-0.48,0.15,0.86,0.53,-0.44,0.32,-1.23,0.23,0.96,1.06,0.86,0.99,0.72
-1.22,0.33,0.82,0.12,0.82,0.79,-1,-0.46,1.03,0.15,0.07,0.37,0.39
-1.67,-0.32,0.32,-0.18,0.32,0.73,-1.38,-1.11,1.27,1.2,0.52,0.15,-0.01
0.86,0.09,1.21,0.08,0.62,0.15,-1.95,0.43,1.95,1.24,0.83,1.67,1.28
0.28,-0.17,1.91,0.71,-0.44,-0.4,-1.71,1.15,1.36,0.02,0.86,1.74,1.08
-0.85,-0.82,1.35,0.1,0.82,-0.49,-1.83,-0.57,0.7,1.07,0.72,0.97,0.19
-0.07,-1.77,0.01,-0.5,-0.15,-1.11,-1.89,-1.05,-0.29,-0.11,0.68,-0.08,-0.78
0.04,-0.72,0.76,-0.79,1.14,-0.09,-1.55,-0.77,0.37,0.77,-0.35,0.34,0.02
0.19,-0.73,0.81,-0.1,1.2,-0.79,-0.69,-0.17,0.14,-0.25,0.19,0.49,0.01
-0.38,-1.35,0.09,-0.45,1,-1.11,-1.37,-0.85,-0.02,0.68,-0.47,-0.17,-0.77
-0.45,-0.43,-0.59,-0.37,0.87,0.21,-1.13,-0.75,0.34,-0.03,-1.24,-0.78,-0.79
-2.58,-2.59,-0.23,-1.86,0.88,-1.57,-1.39,-2.45,0.19,0.66,-2.18,-1.47,-1.94
-2.37,-1.34,-0.39,0.51,-1.46,-1.48,-1.19,0.17,0.28,0.08,0.28,-0.53,-0.93
-1.78,-0.98,1,-0.22,0.19,-0.6,-1.48,-0.83,0.84,0.9,0.07,0.23,-0.34
-1.58,-1.65,-0.01,-0.86,-0.15,-1.14,-1.05,-1.08,-0.07,0.48,0,-0.88,-1.36
-1.37,-0.8,-0.78,-0.66,0.53,-0.28,-1.23,-0.76,-0.7,-0.27,-0.47,-1.2,-1.16
-2.59,-0.85,-0.56,-0.5,-1.12,-0.4,-1.81,-0.75,1.25,2.06,0.04,-0.28,-0.55
-1.36,-0.42,0.88,1.14,1,-0.39,-1.88,0.26,1.17,1.16,0.55,0.79,0.28
-1.43,-0.1,0.22,-0.01,1.1,0.06,-0.7,-0.13,0.74,0.72,0.39,-0.08,-0.11
-2.42,-0.25,0.69,-0.51,0.01,0.63,-0.88,-0.76,1.22,1.47,-0.06,-0.02,-0.09
-2.43,0.52,1.21,0.19,1.34,0.69,0.08,-0.27,2.05,2.56,-0.33,1.04,0.92
-1.61,-1.19,1.44,0.02,2.25,-1.07,-1.45,-0.62,2.35,1.19,0.28,1.24,0.18
-1.07,-1.41,0.79,-0.67,0.55,-0.98,-1.04,-0.93,1.72,1.41,0.91,0.93,0.16
1.16,0.54,1.42,1.23,2.36,-0.4,-1.67,1.46,1.18,2.26,2.37,2.2,1.82
-0.85,-0.52,0.99,1.39,0.72,-0.99,-1.6,1.34,0.72,1.09,4.01,1.47,0.75
-1.65,-0.78,1.89,0.69,1.44,-0.47,-1.71,-0.58,1.91,1.07,1.54,1.62,0.62
-1.1,-0.25,0.65,0,-0.07,0.16,-1.73,-0.06,1.64,1.64,1.23,1.03,0.7
-1.68,0,1.91,0.35,-0.64,0.65,-2.13,-0.03,2.24,2.34,2.05,1.66,1.24
-0.21,0.88,2.08,2.23,1.13,0.49,-1.83,2.01,1.06,1.22,1.97,2.12,1.79
-1.83,0.12,1.97,1.36,1.89,0.73,-1.8,-0.69,0.75,1.27,1.79,1.31,0.88
-2.56,-1.57,0.61,-1.41,0.48,0.01,-1.2,-2.49,0.92,0.72,0.83,-0.46,-1
-1.38,-0.73,1.04,0.01,-0.25,-0.49,-2.13,-0.21,0.78,1.18,0.25,0.43,0.09
-1.73,-0.4,0.82,-0.09,0.79,-0.27,-1.52,-0.03,1.04,1.46,0.19,0.56,0.2
-2.19,-0.22,0.57,0,1,0.56,-1.88,-1.12,1.1,1.03,0.6,0.08,-0.06
-1.38,-1.17,0.48,0.04,1.73,-0.74,-1.15,-0.91,1.77,1.79,0.19,0.62,0.01
-1.22,0.53,0.59,1.54,-0.34,0.49,-2.23,0.96,1.19,0.94,1.44,0.86,0.81
-2.94,-0.79,0.71,1.19,-0.1,-0.8,-2.01,0.36,2.06,2.55,1.63,1.09,0.39
-2.19,-1.5,1.71,0.93,1.44,-1.21,-1.58,-1.02,3.27,2.46,1.37,2.05,0.53
-1.52,-0.84,1.75,0.19,1.53,-0.68,-1.25,-0.33,2.64,2.71,0.3,1.81,1.08
-2.01,0.9,2.22,1.51,2.19,0.89,-1.76,0.91,1.13,0.79,0.48,1.13,1.13
-3.66,0.31,1.51,0.9,2.43,0.29,-1.5,0.54,0.49,0.64,0.83,0.41,0.41
-2.42,0.44,2.38,-0.26,1.89,1.06,-1.68,-0.57,1.03,0.94,0.57,0.88,0.76
-2.4,0.16,4.18,-0.34,2.83,0.94,-1.87,-0.63,2.24,2.4,0.3,2.43,1.98
-1.78,0.4,3.09,0.73,2.1,1.03,-2.02,0.06,1.71,2.44,0.45,1.79,1.47
-3.35,1.15,2.15,1.17,3.25,1.16,-1.75,0.96,1.79,2.64,1.25,1.59,1.56
-1.49,1.29,2.87,3.75,2.07,0.76,-1.71,2.2,2.5,1.51,3,3.21,2.63
-0.8,1.87,2.61,4.04,2.59,0.37,-0.73,2.87,1.15,1.74,3.87,3.38,3.43
1.08,2.51,4.43,3.1,2.97,1.2,-1.79,3.16,2.31,1.57,3.67,4.32,4.05
-2.77,1.02,3.42,0.96,2.23,1.08,-1.14,0.64,2.26,2.23,2.12,2.59,2.16
-3.3,-0.28,3.24,0.52,2.25,0.41,-1.66,-1.18,1.13,1.86,2.06,1.56,0.83
-2.18,-1.17,1.5,0.63,2.51,-0.95,-2.01,-0.4,1.32,3.96,0.36,1.08,0.37
-1.96,-1.01,2.09,0.75,0.62,-1.83,-1.76,0.4,2.11,2.14,-1.19,1.1,0.5
-3.14,-0.94,1.8,0.25,2.23,-1.08,-1.85,0.24,2.02,2.64,0.36,1.28,0.45
-2.97,-1.08,2.42,0.34,2.25,-1.38,-1.78,0.41,2.3,2.08,0.56,1.41,0.34
-1.75,-1.5,1.22,-0.73,1.34,-0.93,-1.56,-1.07,2.66,1.65,-0.37,0.93,0.12
-2.18,-1.04,0.44,0.15,1.4,-0.97,-1.95,-0.43,0.95,1.55,-0.79,-0.14,-0.44
-2.54,-0.42,1.97,-0.1,1.82,-0.22,-1.54,-0.32,1.59,2.07,0.19,1.22,0.63
-3.12,-0.5,2.65,-0.06,2.07,-0.11,-1.78,-0.64,2.35,1.81,0.87,1.46,0.66
-2.46,-2.05,1.76,-1.15,2.04,-1.31,-1.8,-1.54,2.11,1.75,-0.28,0.63,-0.34
-1.97,-2.39,0.62,-1.12,2.53,-2.16,-2.16,-1.53,-0.2,1.02,-0.84,-0.63,-1.24
-3.25,-1.57,1.53,-1.26,1.82,-1.21,-1.83,-1.28,1,2,0.31,0.48,-0.36
-2.96,-1.95,2.01,-1.11,2.34,-1.71,-1.78,-1.18,1.35,1.9,0.2,0.54,-0.63
-1.55,-1.75,1.54,-0.28,1.49,-1.81,-1.94,-0.22,1.82,2.57,-0.01,1.17,0.2
-1.88,-0.8,1.45,0.15,2.62,-0.92,-1.95,-0.15,0.95,1.96,-0.59,0.47,0.1
-6.55,-1.23,-0.11,-1.11,1,-0.71,-1.85,-1.35,1.16,2.76,-0.46,-1.08,-1.25
-3.16,-0.41,1.94,-0.4,2.07,0.03,-2.14,-0.56,2.66,3.41,0.18,1.25,0.58
-2.12,-2.49,2.25,-0.7,2.51,-2.37,-1.44,-1.09,2.52,3.46,0.74,1.81,0.41
-0.85,-1.43,0.71,0.9,2.97,-3.25,-1.6,0.81,0.45,1.69,1.31,0.74,0.1
-3.47,-1.37,2.16,1.36,1.06,-1.98,-1.77,1.2,2.57,2.09,0.02,1.61,0.48
-3.16,-1.17,2.98,0.15,2.42,-0.78,-2.22,-0.91,1.93,2.46,1.06,1.63,0.43
-2.48,-0.68,2.58,0.2,1.65,-0.61,-1.49,-0.06,2.84,3.42,0.78,2.1,1.38
-1.25,0.93,1.12,1.15,4.28,0.83,-2.25,1,1.64,2.55,0.76,1.2,1.2
-4.04,-0.65,1.16,-0.12,1.13,-0.5,-2.01,-0.09,0.87,2.56,1.16,0.41,-0.01
-3.54,-0.57,2.68,0.95,0.91,-0.08,-2.31,-0.57,1.83,2.46,0.9,1.34,0.55
-2.78,-1.08,3.76,0.01,-1.64,-0.65,-2.18,-0.16,2.6,2.52,1.04,2.41,1.46
-3.14,-1.1,3.23,-0.08,0.18,-1.15,-3.06,-0.01,2.23,3.36,1.78,1.77,0.97
-2.96,0.71,3.94,1.67,2.64,0.15,-1.85,2.15,2.22,1.99,1.74,2.81,2.17
-3.07,-1.1,4.23,0.85,2.25,-1.06,-2.12,-0.17,3.75,3.19,1.28,3.3,1.5
-1.71,-0.76,2.86,-0.42,-0.86,-0.28,-1.49,-0.39,2.28,2.22,-0.03,1.93,1.21
-1.46,0.61,2.22,0.54,2.97,0.7,-1.74,0.58,0.89,1.02,-0.04,0.99,0.94
-3.41,0.43,2.34,2.02,2.36,-0.1,-1.56,1.85,1.78,1.77,2.1,1.81,1.39
-3.12,-0.94,3.46,0.77,0.55,-0.61,-2,-0.55,1.54,1.85,2.13,1.95,0.74
-3.33,0.38,4.2,0.33,1.49,1.34,-1.56,-0.71,2.02,1.8,1.07,2.11,1.81
-2.31,-0.14,0.61,-0.22,0.36,0.41,-1.69,-0.21,1.11,2.1,-0.29,0.02,-0.03
-4.33,-0.64,1.06,-0.71,1.68,-0.55,-2.23,0.09,1.65,3.08,-0.6,0.27,-0.09
-3.49,-0.67,3.68,0.68,2.87,-1.01,-1.93,0.72,3.03,3.63,0.91,2.51,1.23
-2.74,-2.33,2.27,-0.78,2.36,-2.46,-1.99,-0.46,2.27,3.12,-0.34,1.09,-0.09
-2.75,-0.75,1.76,0.06,1.84,-0.73,-2.6,-0.05,0.97,2.72,-0.44,0.44,0.08
-5.09,-0.37,2.89,-1.3,2.06,0.26,-1.97,-1.19,1.8,2.42,-0.6,0.93,0.45
-2.99,1,3.19,1.21,3.23,1.42,-2.34,0.24,2.72,2.78,2.42,2.59,2.1
-2.6,-1.25,2.97,-0.68,1.96,-0.55,-2.16,-0.99,3.22,3.44,0.6,2.23,1.24
-4.27,-1,1.38,-0.93,3.71,0.15,-2.11,-1.46,0.09,1.83,-0.23,-0.69,-0.84
-6.43,-0.41,2.03,-0.65,2.64,0.14,-2.21,-0.97,1.98,2.35,0.41,0.47,0.14
-4.38,0.43,5.59,0.96,3.67,0.85,-1.83,-0.31,3.54,2.78,1.59,3.4,2.32
-2.14,-0.45,5.18,0.86,2.43,-0.86,-1.82,0.71,4.57,3.68,1.27,4.68,3.5
-1.89,1.07,4.07,1.44,5.76,0.21,-1.97,1.63,2.99,3.3,2.25,3.09,2.66
-3.3,-0.52,4.51,1.3,3.73,-1.25,-1.56,1.6,1.94,2.11,0.99,2.77,1.62
-4.83,-1.95,4.98,-0.16,4.21,-1.66,-1.93,-1.4,3.58,4.45,0.05,2.7,0.71
-3.17,0.14,4.46,0,4.24,0.22,-1.25,-0.06,2.68,3.01,-0.49,2.34,1.9
-3.69,0.58,3.31,0.38,6.11,0.9,-1.92,0.2,0.62,1.59,0.18,0.77,0.77
-4.9,0.95,3.95,2.22,2.64,0.66,-2.64,1.97,1.8,2.67,1.43,2.32,1.95
-4.38,0.89,6.24,1.36,4.39,0.93,-2.17,0.77,3.78,2.87,1.68,3.93,2.88
-2.78,-0.22,4.77,0.19,3.14,-0.28,-1.82,0.28,2.34,1.54,0.05,2.51,1.89
-3.3,-1.35,2.59,-1.09,2.36,-0.68,-2.69,-1.05,1.93,2.7,-0.48,0.72,0.1
-4.08,0.03,2.99,2.08,2.64,-0.55,-2.03,1.88,2.97,3.11,1.06,2.4,1.61
-4.33,-0.77,5.79,1.62,3.67,-1.33,-1.9,0.99,5.39,3.97,1.89,4.58,2.46
-4,-1.59,4.08,0.9,2.43,-1.85,-1.99,0.04,3.18,2.18,1.25,2.37,1.22
-3.61,-1.1,3.18,-0.28,3.84,-1,-2.18,-0.59,2.84,2.69,-0.16,1.35,0.66
-7.01,-0.65,3.13,-0.94,2.5,-0.25,-2.29,-0.72,2.65,2.76,0.65,1.17,0.5
-5.12,-0.18,4.9,0.77,4.03,0.17,-2.53,-0.31,4.2,3.3,1.3,2.96,1.75
-4.04,-1.44,3.33,-0.04,2.46,-0.92,-1.85,-0.99,3.67,3.96,0.99,2.18,1.13
-4.51,-1.75,2.06,-1.32,2.36,-0.71,-2.23,-1.77,2.78,2.44,0.41,0.45,-0.22
-5.3,0.28,3.04,1.84,2.16,0.01,-2.6,1.55,3.4,2.65,2.65,2.45,1.75
-4.27,0.07,5.01,1.56,3.5,0.29,-2.41,0.13,4.22,2.9,3.17,3.81,2.4
-3.01,1.04,4.03,2.56,2.49,0.09,-1.68,2.1,3.5,3.14,2.96,3.78,3.41
-2.96,0.09,2.31,0.94,1.92,-0.41,-3.06,1.12,3.59,3.1,2.32,2.07,1.59
-5.1,-1.2,0.89,0.67,1.75,-1.64,-2.6,1.13,2.74,3.26,2.88,1.12,0.22
-4.36,-0.27,4.82,2.19,2.6,-0.17,-2.46,0.25,4.05,3.53,4,3.96,2.32
-3.17,-0.22,4.01,2.06,2.12,-0.9,-1.68,1.17,5.25,4.67,4.22,4.86,3.74
-1.57,0.24,3.69,1.83,2.1,-0.36,-3.06,1.29,4.79,4.19,2.32,3.74,2.88
-4.43,-1.2,3.12,1.71,1.75,-1.64,-2.6,1.13,4.07,4.99,2.17,3.11,1.55
-4.91,-0.27,4.32,0.6,2.6,-0.17,-2.46,0.25,4.77,4.69,2.37,3.38,1.96
